# Pin Out For MachXO5-NX 25K,,,,,,,,,
# Revision 0.90,,,,,,,,,
"# Revised May, 5, 2022",,,,,,,,,
# Initial release based on PKT ver7,,,,,,,,,
# Revision 1.00,,,,,,,,,
"# Revised May, 21, 2023",,,,,,,,,
# Final release,,,,,,,,,
,,,,,,,,,
PADN,Pin/Ball Function,CUST_NAME,BANK,DQS,Dual Function,LVDS,HIGHSPEED,BBG400,BBG256
8,PL2A,-,9,-,ULC_GPLL0T_IN/EIO,True_OF_PL2B,-,B1,B1
9,PL2B,-,9,-,EIO,Comp_OF_PL2A,-,C1,C1
13,PL3A,-,9,-,ULC_GPLL0T_MFGOUT1/EIO,True_OF_PL3B,-,D2,D2
14,PL3B,-,9,-,ULC_GPLL0T_MFGOUT2/EIO,Comp_OF_PL3A,-,D1,D1
19,PL4A,-,9,-,EIO,True_OF_PL4B,-,E3,E3
20,PL4B,-,9,-,EIO,Comp_OF_PL4A,-,E2,E2
22,PL5A,-,9,-,EIO,True_OF_PL5B,-,E1,E1
23,PL5B,-,9,-,EIO,Comp_OF_PL5A,-,F1,F1
26,PL6A,-,9,-,EIO,True_OF_PL6B,-,G6,F7
27,PL6B,-,9,-,EIO,Comp_OF_PL6A,-,G5,G7
30,PL7A,-,9,-,EIO,True_OF_PL7B,-,G4,F6
31,PL7B,-,9,-,EIO,Comp_OF_PL7A,-,G3,F5
37,PL8A,-,9,-,EIO,True_OF_PL8B,-,G2,G6
38,PL8B,-,9,-,EIO,Comp_OF_PL8A,-,G1,G5
41,PL9A,-,9,-,EIO,True_OF_PL9B,-,H7,G2
42,PL9B,-,9,-,EIO,Comp_OF_PL9A,-,J7,G1
46,PL10A,-,9,-,EIO,True_OF_PL10B,-,H6,H7
47,PL10B,-,9,-,EIO,Comp_OF_PL10A,-,H5,H6
50,PL11A,-,9,-,EIO,True_OF_PL11B,-,H2,H5
51,PL11B,-,9,-,EIO,Comp_OF_PL11A,-,H1,H4
57,PL12A,-,9,-,EIO,True_OF_PL12B,-,J8,H3
58,PL12B,-,9,-,EIO,Comp_OF_PL12A,-,K8,H2
60,PL13A,-,9,-,EIO,True_OF_PL13B,-,J6,H1
61,PL13B,-,9,-,EIO,Comp_OF_PL13A,-,J5,J1
64,PL14A,-,9,-,EIO,True_OF_PL14B,-,J4,-
65,PL14B,-,9,-,EIO,Comp_OF_PL14A,-,J3,-
